	LON	LAT
1384	-119.7165527	66.12359619
1385	-118.7165527	66.12359619
1386	-117.7165527	66.12359619
1387	-116.7165527	66.12359619
1450	-166.6880455	65.49054011
1451	-165.7131674	65.12266218
1452	-164.7165527	65.12359619
1453	-163.7171779	65.1244617
1454	-162.7158514	65.12589155
1455	-161.7325277	65.19289929
1456	-160.680829	65.16492463
1457	-159.7165527	65.12359619
1458	-158.7165527	65.12359619
1459	-157.7165527	65.12359619
1460	-156.7165527	65.12359619
1461	-155.7165527	65.12359619
1462	-154.7165527	65.12359619
1463	-153.7165527	65.12359619
1464	-152.7165527	65.12359619
1465	-151.7165527	65.12359619
1466	-150.7165527	65.12359619
1467	-149.7165527	65.12359619
1468	-148.7165527	65.12359619
1469	-147.7165527	65.12359619
1470	-146.7165527	65.12359619
