385	10 (C D E F G H I J K L)
Tyrannus_melancholicus	1001001000
Tyrannus_niveigularis	1101000000
Tyrannus_savana	0001001100
Tyrannus_tyrannus	0001100100
Tyrannus_verticalis	0100010100
Tyrannus_vociferans	1100000000
Xenotriccus_callizonus	1001000000
Xenotriccus_mexicanus	1100000000
Xolmis_cinereus	1001001000
Xolmis_coronatus	0000001100
Xolmis_dominicanus	0001001100
Xolmis_irupero	1000001100
Xolmis_pyrope	0100100100
Xolmis_rubetra	0000001100
Xolmis_velatus	1001001000
Zimmerius_acer	0101001000
Zimmerius_albigularis	1001000000
Zimmerius_bolivianus	0001000010
Zimmerius_chrysops	1001000000
Zimmerius_cinereicapilla	0001000000
Zimmerius_gracilipes	1001001000
Zimmerius_vilissimus	1001000001
Zimmerius_villarejoi	0001000000
Zimmerius_viridiflavus	0001000010
