LONG	LAT	SES.SIZE.DISPARITY	SES.SHAPE.VENTRAL
-72.28	-46.87	-0.805398841	-0.756038685
-71.28	-46.87	-0.762232225	-0.852725558
-70.28	-46.87	-0.504300612	-1.454210608
-69.28	-46.87	-0.550103493	-1.316994652
-68.28	-46.87	-0.508517337	-1.783180539
-67.28	-46.87	-0.134277824	-1.401602858
-74.28	-45.87	-0.820398804	-0.841433881
-73.28	-45.87	-0.575213846	-0.277871757
-72.28	-45.87	-1.135542322	-0.974583915
-71.28	-45.87	-0.898002245	-0.890486116
-70.28	-45.87	-0.547790368	-1.598504785
-69.28	-45.87	-0.5045285	-1.418412294
-68.28	-45.87	-0.500584707	-1.92142134
-74.28	-44.87	-0.749185514	-0.919830446
-73.28	-44.87	-0.596421566	-0.756528186
-72.28	-44.87	-0.877683262	-1.033094113
-71.28	-44.87	-0.770790905	-1.113138011
-70.28	-44.87	-0.779521898	-1.071056186
-69.28	-44.87	-0.515412987	-1.221201366
-68.28	-44.87	-0.710675022	-1.432042548
-67.28	-44.87	-0.330002917	-1.677295137
-66.28	-44.87	-0.117425891	-0.891187957
-72.28	-43.87	-0.658447714	-0.575375139
-71.28	-43.87	-0.902545152	-1.416843318
-70.28	-43.87	-0.685700062	-1.250275341
-69.28	-43.87	-0.669265141	-1.632973895
-68.28	-43.87	-0.622029024	-1.595461762
-67.28	-43.87	-0.506439219	-1.417911735
-66.28	-43.87	-0.23940166	-0.748640554
-65.28	-43.87	-0.033098968	-0.839455445
-74.28	-42.87	-0.714546193	-0.572686205
-72.28	-42.87	-0.774557119	-0.767900298
-71.28	-42.87	-0.893139831	-1.1386444
-70.28	-42.87	-0.777653889	-1.012809114
-69.28	-42.87	-0.624778742	-1.640327454
-68.28	-42.87	-0.81710556	-2.181249936
-67.28	-42.87	-0.453004506	-1.340662522
-66.28	-42.87	-0.388756639	-1.090989355
-65.28	-42.87	-0.304262093	-1.27400293
-73.28	-41.87	-0.731262423	-0.88310392
-72.28	-41.87	-0.872449717	-0.935221875
-71.28	-41.87	-0.71871396	-1.382351078
-70.28	-41.87	-0.733490923	-1.19181704
-69.28	-41.87	-0.640969006	-1.630946566
-68.28	-41.87	-0.718675523	-1.66370026
-67.28	-41.87	-0.509169017	-1.368795618
-66.28	-41.87	-0.573312581	-1.306568147
-65.28	-41.87	0.011037873	-1.676524426
-73.28	-40.87	-0.636471307	-0.620870035
-72.28	-40.87	-0.703625772	-0.511367009
-71.28	-40.87	-0.842263274	-1.413470491
-70.28	-40.87	-0.830882283	-1.391302147
-69.28	-40.87	-0.725754539	-1.782104966
-68.28	-40.87	-0.779222246	-1.976900575
-67.28	-40.87	-0.571902586	-1.320183365
-66.28	-40.87	-0.588166068	-1.175501289
-65.28	-40.87	-0.367888082	-1.617394104
-64.28	-40.87	-0.31288707	-1.58202383
-63.28	-40.87	-0.46292708	-2.025045449
-73.28	-39.87	-0.713311013	-0.604330092
-72.28	-39.87	-0.969961081	-0.35029271
-71.28	-39.87	-0.858070067	-1.380034893
-70.28	-39.87	-0.917576255	-1.778078532
-69.28	-39.87	-0.629425364	-1.886462114
-68.28	-39.87	-0.563474922	-1.624334784
-67.28	-39.87	-0.412225554	-1.186819897
-66.28	-39.87	-0.299043355	-1.962544519
-65.28	-39.87	-0.314650153	-1.768821217
-64.28	-39.87	-0.49020766	-2.118621791
-63.28	-39.87	-0.315126006	-1.72938684
-62.28	-39.87	-0.264403886	-1.771884417
-73.28	-38.87	-0.642932763	-0.770408695
-72.28	-38.87	-0.965911961	-1.560579033
-71.28	-38.87	-0.855799474	-1.289606613
-70.28	-38.87	-0.914906257	-1.423052948
-69.28	-38.87	-0.645945763	-1.57522443
-68.28	-38.87	-0.350343577	-1.747570082
